Entity,Code,Year,Annual CO₂ emissions
Africa,AFR,2023,1481814400
Africa,AFR,2024,1502098700
Brazil,BRA,2023,483991940
Brazil,BRA,2024,483011550
Canada,CAN,2023,545478500
Canada,CAN,2024,533340100
China,CHN,2023,12172008000
China,CHN,2024,12289037000
France,FRA,2023,270262660
France,FRA,2024,264155620
India,IND,2023,3062756400
India,IND,2024,3193478100
Indonesia,IDN,2023,762357570
Indonesia,IDN,2024,812220200
Iran,IRN,2023,789675840
Iran,IRN,2024,792631200
Japan,JPN,2023,986910140
Japan,JPN,2024,961867300
Mexico,MEX,2023,458253860
Mexico,MEX,2024,460987650
Middle East (GCP),,2023,2894337800
Middle East (GCP),,2024,2968607000
Russia,RUS,2023,1733134600
Russia,RUS,2024,1780524400
Saudi Arabia,SAU,2023,677441900
Saudi Arabia,SAU,2024,692133500
United Kingdom,GBR,2023,307826140
United Kingdom,GBR,2024,312905540
United States,USA,2023,4918406700
United States,USA,2024,4904120000
