Entity,Code,Year,Annual CO₂ emissions (per capita)
Africa,AFR,2023,1.0019028
Africa,AFR,2024,0.9925683
Australia,AUS,2023,14.529289
Australia,AUS,2024,14.477199
Brazil,BRA,2023,2.2922719
Brazil,BRA,2024,2.2783718
Canada,CAN,2023,13.880179
Canada,CAN,2024,13.419917
China,CHN,2023,8.556261
China,CHN,2024,8.65839
Egypt,EGY,2023,2.1847339
Egypt,EGY,2024,2.2170217
France,FRA,2023,4.067842
France,FRA,2024,3.969368
Germany,DEU,2023,7.022808
Germany,DEU,2024,6.7688236
Greenland,GRL,2023,10.883719
Greenland,GRL,2024,11.079819
Hong Kong,HKG,2023,4.428082
Hong Kong,HKG,2024,4.4941745
India,IND,2023,2.1297693
India,IND,2024,2.2009783
Iraq,IRQ,2023,5.056339
Iraq,IRQ,2024,5.074398
Japan,JPN,2023,7.9352145
Japan,JPN,2024,7.7724743
Russia,RUS,2023,11.9164505
Russia,RUS,2024,12.294705
United Kingdom,GBR,2023,4.481841
United Kingdom,GBR,2024,4.5257993
United States,USA,2023,14.31945
United States,USA,2024,14.197287
